RL ID,Order,Family,Species,Common name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
22704502,PASSERIFORMES,DASYORNITHIDAE,Dasyornis longirostris,Western Bristlebird,18.19491,EN,3,5.034086681,77,Australia,5.762774
22704507,PASSERIFORMES,DASYORNITHIDAE,Dasyornis brachypterus,Eastern Bristlebird,18.16695,EN,3,5.032628983,78,Australia,5.762774
22695121,ACCIPITRIFORMES,ACCIPITRIDAE,Haliaeetus vociferoides,Madagascar Fish-eagle,8.419427,CR,4,5.015362981,79,"Madagascar,Mauritius",5.762774
22697721,CICONIIFORMES,CICONIIDAE,Leptoptilos dubius,Greater Adjutant,17.52964,EN,3,4.998813154,80,"Bangladesh,India,Cambodia,Lao People's Democratic Republic,Myanmar,Nepal,Pakistan,Thailand,Viet Nam",5.762774
22692971,MESITORNITHIFORMES,MESITORNITHIDAE,Monias benschi,Subdesert Mesite,36.01289,VU,2,4.997560591,81,Madagascar,5.762774
22726273,COLUMBIFORMES,COLUMBIDAE,Otidiphaps insularis,Black-naped Pheasant-pigeon,17.28783,EN,3,4.985677353,82,Papua New Guinea,5.762774
22691030,COLUMBIFORMES,COLUMBIDAE,Alopecoenas erythropterus,Polynesian Ground-dove,8.142801,CR,4,4.985555516,83,French Polynesia,5.762774
22691005,COLUMBIFORMES,COLUMBIDAE,Gallicolumba menagei,Sulu Bleeding-heart,8.060225,CR,4,4.976482676,84,Philippines,5.762774
22690985,COLUMBIFORMES,COLUMBIDAE,Gallicolumba platenae,Mindoro Bleeding-heart,8.047441,CR,4,4.975070678,85,Philippines,5.762774
22690988,COLUMBIFORMES,COLUMBIDAE,Gallicolumba keayi,Negros Bleeding-heart,8.005162,CR,4,4.970386691,86,Philippines,5.762774
45354718,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus bryani,Bryan's Shearwater,7.884597,CR,4,4.956907825,87,"Japan,United States Minor Outlying Islands",5.762774
22696221,ACCIPITRIFORMES,SAGITTARIIDAE,Sagittarius serpentarius,Secretarybird,34.41238,VU,2,4.953355838,88,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,Côte d'Ivoire,Cameroon,Djibouti,Eritrea,Ethiopia,Ghana,Gambia,Guinea-Bissau,Kenya,Liberia,Lesotho,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sudan,Senegal,Somalia,South Sudan,Swaziland,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe",5.762774
103842251,PASSERIFORMES,PYCNONOTIDAE,Thapsinillas platenae,Sangihe Golden Bulbul,7.813239,CR,4,4.948843745,89,Indonesia,5.762774
22697913,PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria becki,Beck's Petrel,7.575191,CR,4,4.921461989,90,"Papua New Guinea,Solomon Islands,Vanuatu,Wallis and Futuna",5.762774
22712603,PASSERIFORMES,PYCNONOTIDAE,Pycnonotus zeylanicus,Straw-headed Bulbul,7.559054,CR,4,4.919578392,91,"Brunei Darussalam,Indonesia,Myanmar,Malaysia,Singapore",5.762774
45470698,GRUIFORMES,PSOPHIIDAE,Psophia dextralis,Olive-winged Trumpeter,16.06012,EN,3,4.916185118,92,Brazil,5.762774
22687863,CAPRIMULGIFORMES,TROCHILIDAE,Sephanoides fernandensis,Juan Fernandez Firecrown,7.479356,CR,4,4.910223226,93,Chile,5.762774
22732096,ACCIPITRIFORMES,ACCIPITRIDAE,Nisaetus floris,Flores Hawk-eagle,7.443529,CR,4,4.905989071,94,Indonesia,5.762774
22715162,PASSERIFORMES,MACROSPHENIDAE,Macrosphenus pulitzeri,Pulitzer's Longbill,15.83273,EN,3,4.902766747,95,Angola,5.762774
22736345,PASSERIFORMES,GRALLARIIDAE,Grallaria fenwickorum,Urrao Antpitta,7.415527,CR,4,4.902667174,96,Colombia,5.762774
22697021,PELECANIFORMES,ARDEIDAE,Ardea insignis,White-bellied Heron,7.400698,CR,4,4.90090352,97,"Bangladesh,Bhutan,India,Myanmar,Nepal",5.762774
22689335,STRIGIFORMES,STRIGIDAE,Heteroglaux blewitti,Forest Owlet,15.65705,EN,3,4.892275092,98,India,5.762774
22703255,PASSERIFORMES,GRALLARIIDAE,Grallaria chthonia,Tachira Antpitta,7.298385,CR,4,4.88864964,99,"Venezuela, Bolivarian Republic of",5.762774
22684473,CUCULIFORMES,CUCULIDAE,Neomorphus radiolosus,Banded Ground-cuckoo,15.58336,EN,3,4.887841325,100,"Colombia,Ecuador",5.762774
22717507,PASSERIFORMES,DICAEIDAE,Dicaeum quadricolor,Cebu Flowerpecker,7.25919,CR,4,4.883915242,101,Philippines,5.762774
22690804,COLUMBIFORMES,COLUMBIDAE,Columbina cyanopis,Blue-eyed Ground-dove,7.218963,CR,4,4.879032768,102,Brazil,5.762774
22733081,STRIGIFORMES,STRIGIDAE,Glaucidium mooreorum,Pernambuco Pygmy-owl,7.209632,CR,4,4.877896821,103,Brazil,5.762774
22685219,PSITTACIFORMES,PSITTACIDAE,Lathamus discolor,Swift Parrot,7.135915,CR,4,4.868876934,104,Australia,5.762774
22728364,PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea dabbenena,Tristan Albatross,7.118788,CR,4,4.866769604,105,"Angola,Argentina,Brazil,Namibia,Saint Helena, Ascension and Tristan da Cunha,Uruguay,South Africa",5.762774
22698097,PROCELLARIIFORMES,PROCELLARIIDAE,Pterodroma caribbaea,Jamaican Petrel,7.117934,CR (PE),4,4.866664411,106,"Bahamas,Dominica,Guadeloupe,Jamaica",5.762774
22693899,CHARADRIIFORMES,CHARADRIIDAE,Thinornis novaeseelandiae,Shore Plover,15.20018,EN,3,4.864463895,107,New Zealand,5.762774
22697935,PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria macgillivrayi,Fiji Petrel,7.096915,CR,4,4.864071847,108,Fiji,5.762774
22690874,COLUMBIFORMES,COLUMBIDAE,Leptotila wellsi,Grenada Dove,7.071976,CR,4,4.860987032,109,Grenada,5.762774
22700827,PASSERIFORMES,TYRANNIDAE,Calyptura cristata,Kinglet Calyptura,7.027632,CR,4,4.855478313,110,Brazil,5.762774
22696861,SULIFORMES,PHALACROCORACIDAE,Leucocarbo onslowi,Chatham Shag,7.012732,CR,4,4.853620499,111,New Zealand,5.762774
22682507,BUCEROTIFORMES,BUCEROTIDAE,Berenicornis comatus,White-crowned Hornbill,15.02276,EN,3,4.853451753,112,NA,5.762774
22728432,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus mauretanicus,Balearic Shearwater,6.976273,CR,4,4.849059982,113,"Albania,Bosnia and Herzegovina,Belgium,Germany,Denmark,Algeria,Spain,Faroe Islands,France,United Kingdom,Gibraltar,Greece,Croatia,Ireland,Israel,Italy,Libya,Morocco,Monaco,Montenegro,Malta,Netherlands,Norway,Poland,Portugal,Sweden,Slovenia,Tunisia",5.762774
22704320,PASSERIFORMES,MELIPHAGIDAE,Gymnomyza aubryana,Crow Honeyeater,6.941614,CR,4,4.844705251,114,New Caledonia,5.762774
22698628,PASSERIFORMES,PITTIDAE,Hydrornis gurneyi,Gurney's Pitta,6.884804,CR,4,4.837526085,115,"Myanmar,Thailand",5.762774
22697568,PELECANIFORMES,THRESKIORNITHIDAE,Platalea minor,Black-faced Spoonbill,14.72272,EN,3,4.834548342,116,"Brunei Darussalam,China,Hong Kong,Japan,Cambodia,Korea, Democratic People's Republic of,Korea, Republic of,Macao,Philippines,Russian Federation,Thailand,Taiwan, Province of China,Viet Nam",5.762774
22698235,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus auricularis,Townsend's Shearwater,6.770893,CR,4,4.822973809,117,"Guam,Northern Mariana Islands,Mexico,Panama,French Southern Territories,United States Minor Outlying Islands",5.762774
103881687,PASSERIFORMES,SITTIDAE,Sitta insularis,Bahama Nuthatch,6.687625,CR,4,4.812200615,118,Bahamas,5.762774
22731855,PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis bernieri,Madagascar Sacred Ibis,14.26982,EN,3,4.805319873,119,"Madagascar,Seychelles",5.762774
22678646,GALLIFORMES,MEGAPODIIDAE,Leipoa ocellata,Malleefowl,29.44731,VU,2,4.80229201,120,Australia,5.762774
22724407,PASSERIFORMES,THAMNOPHILIDAE,Myrmotherula snowi,Alagoas Antwren,6.584023,CR,4,4.79863252,121,Brazil,5.762774
22702156,PASSERIFORMES,FURNARIIDAE,Aphrastura masafucrae,Masafuera Rayadito,6.570432,CR,4,4.796838855,122,Chile,5.762774
22724821,PASSERIFORMES,CORVIDAE,Cissa thalassina,Javan Green Magpie,6.486376,CR,4,4.785673558,123,Indonesia,5.762774
22697695,CICONIIFORMES,CICONIIDAE,Ciconia boyciana,Oriental Stork,13.96284,EN,3,4.785011336,124,"Bangladesh,China,Hong Kong,India,Japan,Korea, Democratic People's Republic of,Korea, Republic of,Myanmar,Mongolia,Philippines,Russian Federation,Taiwan, Province of China",5.762774
132467692,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus newelli,Newell's Shearwater,6.464544,CR,4,4.782753066,125,NA,5.762774
22697685,CICONIIFORMES,CICONIIDAE,Ciconia stormi,Storm's Stork,13.89928,EN,3,4.780754431,126,"Brunei Darussalam,Indonesia,Myanmar,Malaysia,Thailand",5.762774
22684795,PSITTACIFORMES,CACATUIDAE,Cacatua haematuropygia,Philippine Cockatoo,6.446171,CR,4,4.780288663,127,Philippines,5.762774
22697896,PROCELLARIIFORMES,PROCELLARIIDAE,Pseudobulweria aterrima,Mascarene Petrel,6.443074,CR,4,4.779872658,128,"Mauritius,Réunion",5.762774
22685533,PSITTACIFORMES,PSITTACIDAE,Cyanopsitta spixii,Spix's Macaw,6.436902,CR (PEW),4,4.779043087,129,Brazil,5.762774
22728599,STRIGIFORMES,STRIGIDAE,Otus siaoensis,Siau Scops-owl,6.415956,CR,4,4.776222617,130,Indonesia,5.762774
22691470,COLUMBIFORMES,COLUMBIDAE,Ptilinopus huttoni,Rapa Fruit-dove,6.411013,CR,4,4.775555859,131,French Polynesia,5.762774
22692949,MESITORNITHIFORMES,MESITORNITHIDAE,Mesitornis variegatus,White-breasted Mesite,28.59027,VU,2,4.773739952,132,Madagascar,5.762774
22692966,MESITORNITHIFORMES,MESITORNITHIDAE,Mesitornis unicolor,Brown Mesite,28.59027,VU,2,4.773739952,132,Madagascar,5.762774
22682931,CORACIIFORMES,BRACHYPTERACIIDAE,Brachypteracias leptosomus,Short-legged Ground-roller,28.52679,VU,2,4.771592348,134,Madagascar,5.762774
22678559,GALLIFORMES,MEGAPODIIDAE,Aepypodius bruijnii,Waigeo Brush-turkey,13.66619,EN,3,4.764986386,135,Indonesia,5.762774
22700886,PASSERIFORMES,COTINGIDAE,Cotinga maculata,Banded Cotinga,6.332155,CR,4,4.764858192,136,Brazil,5.762774
22690195,COLUMBIFORMES,COLUMBIDAE,Columba argentina,Silvery Pigeon,6.330518,CR,4,4.764634904,137,"Indonesia,Malaysia",5.762774
61915272,STRIGIFORMES,STRIGIDAE,Otus feae,Annobon Scops-owl,6.300111,CR,4,4.760478276,138,Equatorial Guinea,5.762774
22711458,PASSERIFORMES,TROGLODYTIDAE,Thryophilus nicefori,Niceforo's Wren,6.255193,CR,4,4.754306211,139,Colombia,5.762774
22691910,OTIDIFORMES,OTIDIDAE,Neotis ludwigii,Ludwig's Bustard,13.36939,EN,3,4.744541791,140,"Angola,Botswana,Lesotho,Namibia,South Africa",5.762774
22695189,ACCIPITRIFORMES,ACCIPITRIDAE,Gyps africanus,White-backed Vulture,6.153582,CR,4,4.740201933,141,"Angola,Burkina Faso,Burundi,Benin,Botswana,Congo, The Democratic Republic of the,Central African Republic,Côte d'Ivoire,Cameroon,Eritrea,Ethiopia,Ghana,Gambia,Guinea,Guinea-Bissau,Kenya,Liberia,Lesotho,Mali,Mauritania,Malawi,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sudan,Sierra Leone,Senegal,Somalia,South Sudan,Swaziland,Chad,Togo,Tanzania, United Republic of,Uganda,South Africa,Zambia,Zimbabwe",5.762774
22711105,PASSERIFORMES,MIMIDAE,Toxostoma guttatum,Cozumel Thrasher,6.149315,CR,4,4.73960527,142,Mexico,5.762774
22736414,PASSERIFORMES,TURDIDAE,Turdus xanthorhynchus,Principe Thrush,6.105735,CR,4,4.733490927,143,Sao Tomé and Principe,5.762774
22692808,GRUIFORMES,RALLIDAE,Porphyrio hochstetteri,South Island Takahe,13.16192,EN,3,4.729998214,144,New Zealand,5.762774
84543703,PASSERIFORMES,ALAUDIDAE,Heteromirafra archeri,Liben Lark,6.043192,CR,4,4.724650199,145,"Ethiopia,Somalia",5.762774
22701646,PASSERIFORMES,THAMNOPHILIDAE,Terenura sicki,Orange-bellied Antwren,5.980644,CR,4,4.715729898,146,Brazil,5.762774
