RL ID,Order,Family,Species,Common Name,ED,RL Status,GE,EDGE,EDGE Rank,Distribution,Median ED
19035,Testudines,Testudinidae,Pyxis arachnoides,Spider Tortoise,42.86402613,Critically Endangered,4,6.553683256,12,Madagascar,31.25360088
19036,Testudines,Testudinidae,Pyxis planicauda,Flat-tailed Tortoise,42.86402613,Critically Endangered,4,6.553683256,12,Madagascar,31.25360088
8005,Testudines,Cheloniidae,Eretmochelys imbricata,Hawksbill Turtle,41.44368293,Critically Endangered,4,6.520766812,16,"United Arab Emirates,Antigua and Barbuda,American Samoa,Australia,Barbados,Bahrain,Bonaire, Sint Eustatius and Saba,Brazil,Bahamas,Belize,China,Colombia,Costa Rica,Cuba,Curaçao,Dominican Republic,Ecuador,Egypt,Eritrea,Fiji,Micronesia, Federated States of ,Grenada,Guadeloupe,Equatorial Guinea,Guam,Honduras,Indonesia,India,British Indian Ocean Territory,Iran, Islamic Republic of,Jamaica,Japan,Kenya,Cambodia,Comoros,Saint Kitts and Nevis,Kuwait,Sri Lanka,Saint Martin (French part),Madagascar,Myanmar,Martinique,Mauritius,Maldives,Mexico,Malaysia,Mozambique,Nicaragua,Oman,Panama,Papua New Guinea,Philippines,Puerto Rico,Palau,Qatar,Saudi Arabia,Solomon Islands,Seychelles,Sudan,Somalia,Sao Tomé and Principe,El Salvador,Sint Maarten (Dutch part),French Southern Territories,Thailand,Trinidad and Tobago,Taiwan, Province of China,Tanzania, United Republic of,United States,Venezuela, Bolivarian Republic of,Virgin Islands, British,Viet Nam,Vanuatu,Samoa,Yemen,Mayotte",31.25360088
17823,Testudines,Podocnemididae,Podocnemis lewyana,Magdalena River Turtle,39.45163086,Critically Endangered,4,6.472695683,18,Colombia,31.25360088
17585,Testudines,Platysternidae,Platysternon megacephalum,Big-headed Turtle,74.57756946,Endangered,3,6.404601081,19,"China,Lao People's Democratic Republic,Myanmar,Thailand,Viet Nam",31.25360088
4695,Testudines,Trionychidae,Chitra chitra,Asian Narrow-headed Softshell Turtle,36.27804586,Critically Endangered,4,6.390993293,20,Thailand,31.25360088
39621,Testudines,Trionychidae,Rafetus swinhoei,Yangtze Giant Softshell Turtle,36.27804586,Critically Endangered,4,6.390993293,20,China,31.25360088
4615,Testudines,Cheloniidae,Chelonia mydas,Green Turtle,48.72868293,Endangered,3,5.98602343,25,"United Arab Emirates,Antigua and Barbuda,Anguilla,Angola,American Samoa,Australia,Barbados,Bangladesh,Bahrain,Bonaire, Sint Eustatius and Saba,Brazil,Belize,Cocos (Keeling) Islands,Cook Islands,China,Colombia,Costa Rica,Cuba,Curaçao,Christmas Island,Cyprus,Dominica,Dominican Republic,Ecuador,Egypt,Eritrea,Fiji,Micronesia, Federated States of ,Grenada,French Guiana,Guinea,Equatorial Guinea,Guam,Guinea-Bissau,Guyana,Haiti,Indonesia,India,British Indian Ocean Territory,Iran, Islamic Republic of,Jamaica,Japan,Kenya,Kiribati,Comoros,Saint Kitts and Nevis,Kuwait,Saint Lucia,Sri Lanka,Saint Martin (French part),Madagascar,Marshall Islands,Myanmar,Northern Mariana Islands,Martinique,Mauritania,Maldives,Mexico,Malaysia,Mozambique,New Caledonia,Nicaragua,Niue,New Zealand,Oman,Panama,Peru,French Polynesia,Papua New Guinea,Philippines,Pakistan,Puerto Rico,Palau,Saudi Arabia,Solomon Islands,Seychelles,Saint Helena, Ascension and Tristan da Cunha,Sierra Leone,Senegal,Somalia,Suriname,Sao Tomé and Principe,Sint Maarten (Dutch part),Turks and Caicos Islands,French Southern Territories,Thailand,Tokelau,Timor-Leste,Tonga,Turkey,Trinidad and Tobago,Tuvalu,Tanzania, United Republic of,United States Minor Outlying Islands,United States,Saint Vincent and the Grenadines,Venezuela, Bolivarian Republic of,Virgin Islands, British,Virgin Islands, U.S.,Viet Nam,Vanuatu,Yemen,Mayotte",31.25360088
16511,Testudines,Podocnemididae,Peltocephalus dumerilianus,Big-headed Amazon River Turtle,96.7814642,Vulnerable,2,5.969029393,28,"Brazil,Colombia,French Guiana,Venezuela, Bolivarian Republic of",31.25360088
4609,Testudines,Chelidae,Chelodina pritchardi,Pritchard's Snake-necked Turtle,45.3043467,Endangered,3,5.91467738,29,Papua New Guinea,31.25360088
75,Testudines,Chelidae,Acanthochelys pallidipectoris,Chaco Side-necked Turtle,45.20689918,Endangered,3,5.912570661,30,"Argentina,Bolivia, Plurinational States of,Paraguay",31.25360088
7664,Testudines,Chelidae,Elusor macrurus,Mary River Turtle,45.20689918,Endangered,3,5.912570661,30,Australia,31.25360088
40758,Testudines,Chelidae,Myuchelys bellii,NA,45.20689918,Endangered,3,5.912570661,30,NA,31.25360088
9042,Testudines,Geoemydidae,Geoemyda japonica,Ryukyu Black-breasted Leaf Turtle,37.65689504,Endangered,3,5.734166698,52,Japan,31.25360088
39552,Testudines,Geoemydidae,Geoemyda spengleri,Black-breasted Leaf Turtle,37.65689504,Endangered,3,5.734166698,52,"China,Viet Nam",31.25360088
4696,Testudines,Trionychidae,Chitra indica,Indian Narrow-headed Softshell Turtle,36.27804586,Endangered,3,5.697846112,59,"Bangladesh,India,Myanmar,Pakistan",31.25360088
14765,Testudines,Trionychidae,Nilssonia formosa,Burmese Peacock Softshell,36.27804586,Endangered,3,5.697846112,59,Myanmar,31.25360088
16502,Testudines,Trionychidae,Pelochelys cantorii,Asian Giant Softshell Turtle,36.27804586,Endangered,3,5.697846112,59,"Bangladesh,China,Indonesia,India,Cambodia,Lao People's Democratic Republic,Myanmar,Malaysia,Papua New Guinea,Philippines,Thailand,Viet Nam",31.25360088
19070,Testudines,Trionychidae,Rafetus euphraticus,Euphrates Softshell Turtle,36.27804586,Endangered,3,5.697846112,59,"Iraq,Iran, Islamic Republic of,Syrian Arab Republic,Turkey",31.25360088
15918,Testudines,Trionychidae,Palea steindachneri,Wattle-necked Softshell Turtle,36.22070022,Endangered,3,5.696306606,63,"China,Viet Nam",31.25360088
