Class,Order,Family,Species,ED,RL Category,GE,EDGE,EDGE Rank,Distribution,RL Synonym,Median ED
PINOPSIDA,PINALES,TAXACEAE,Taxus floridana,20.19501088,CR,4,5.82635454,18,United States,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria nemorosa,18.29490197,CR,4,5.732429637,19,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Cathaya argyrophylla,72.42971565,VU,2,5.68262306,20,China,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Pseudolarix amabilis,68.65156172,VU,2,5.629799483,21,China,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Pseudotaxus chienii,68.22530503,VU,2,5.623660837,22,China,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Cedrus atlantica,32.46187857,EN,3,5.589848379,23,"Algeria, Morocco",NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Cephalotaxus hainanensis,29.71823544,EN,3,5.504298008,24,China,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys ladei,58.72119502,VU,2,5.475981344,25,Australia,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Pseudotsuga japonica,26.97859871,EN,3,5.410881428,26,Japan,NA,6.677812022
PINOPSIDA,PINALES,PINACEAE,Picea koyamae,12.89032026,CR,4,5.403780936,27,Japan,NA,6.677812022
CYCADOPSIDA,CYCADALES,CYCADACEAE,Cycas hongheensis,12.30154509,CR,4,5.360468923,28,China,NA,6.677812022
CYCADOPSIDA,CYCADALES,STANGERIACEAE,Stangeria eriopus,52.05838284,VU,2,5.357687231,29,"Mozambique, South Africa",NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Torreya jackii,25.19011817,EN,3,5.344823712,30,China,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria muelleri,24.666714,EN,3,5.324636519,31,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria heterophylla,49.5015585,VU,2,5.308298558,32,Norfolk Island,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Prumnopitys andina,49.01655536,VU,2,5.298648419,33,Chile,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis kinabaluensis,22.95651648,EN,3,5.255681915,34,Malaysia,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Falcatifolium angustum,22.32829196,EN,3,5.229108413,35,Malaysia,NA,6.677812022
PINOPSIDA,PINALES,PODOCARPACEAE,Podocarpus decumbens,10.59730235,CR,4,5.223361237,36,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis orbicula,22.14011031,EN,3,5.221009031,37,"Indonesia, Malaysia",NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis borneensis,22.02090734,EN,3,5.215844359,38,"Brunei Darussalam, Indonesia, Malaysia",NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Amentotaxus assamica,21.71779896,EN,3,5.202590254,39,India,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria humboldtensis,21.67957443,EN,3,5.200906256,40,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Widdringtonia whytei,10.11154262,CR,4,5.180573166,41,Malawi,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis ovata,21.09252525,EN,3,5.174680869,42,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria scopulorum,20.99462735,EN,3,5.170239754,43,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Agathis macrophylla,20.95474836,EN,3,5.168424984,44,"Fiji, Solomon Islands, Vanuatu",NA,6.677812022
CYCADOPSIDA,CYCADALES,ZAMIACEAE,Dioon spinulosum,20.94408842,EN,3,5.167939325,45,Mexico,NA,6.677812022
PINOPSIDA,PINALES,TAXACEAE,Taxus wallichiana,20.57761338,EN,3,5.151097901,46,"Bhutan, China, Indonesia, India, Myanmar, Nepal, Philippines, Pakistan, Viet Nam",NA,6.677812022
PINOPSIDA,PINALES,ARAUCARIACEAE,Araucaria rulei,20.41630035,EN,3,5.143593872,47,New Caledonia,NA,6.677812022
PINOPSIDA,PINALES,CUPRESSACEAE,Athrotaxis cupressoides,41.56973499,VU,2,5.137437916,48,Australia,NA,6.677812022
